op_unique_carrier,origin,arr_delay,cancelled,month
WN,ORD,30.0,0,7
AS,SEA,9.0,0,2
B6,BOS,-38.0,0,10
OO,OKC,-31.0,0,3
UA,IAH,-1.0,0,9
WN,IND,15.0,0,4
WN,ATL,13.0,0,5
B6,JFK,11.0,0,12
OO,SAN,-8.0,0,8
B6,JFK,-24.0,0,4
AS,HNL,16.0,0,2
WN,ALB,-8.0,0,9
AA,LGA,-20.0,0,4
NK,FLL,-14.0,0,5
AA,MCO,-24.0,0,11
UA,EWR,156.0,0,1
DL,SFO,-15.0,0,2
AA,ORD,124.0,0,7
AA,SMF,6.0,0,2
AA,PHX,16.0,0,1
AA,PHL,-10.0,0,11
WN,DAL,6.0,0,4
DL,ATL,-11.0,0,3
WN,ATL,-3.0,0,12
AA,ORD,17.0,0,5
WN,LAS,35.0,0,9
WN,HOU,27.0,0,11
OO,MSO,-19.0,0,1
YX,ORD,2.0,0,8
UA,LAX,-26.0,0,10
YX,DCA,-5.0,0,9
AA,CLE,-12.0,0,6
F9,DEN,-8.0,0,7
AA,PHX,-7.0,0,9
AA,DFW,128.0,0,12
WN,HOU,-7.0,0,11
OO,BRO,-20.0,0,6
UA,SFO,1.0,0,4
AA,BFL,262.0,0,12
AA,RIC,9.0,0,5
WN,PHX,-8.0,0,7
AA,DFW,64.0,0,4
NK,RIC,-27.0,0,4
MQ,TRI,-21.0,0,7
UA,TPA,-11.0,0,8
F9,PHL,5.0,0,3
WN,BHM,-29.0,0,8
AA,CLT,-24.0,0,11
OO,SNA,-12.0,0,1
WN,LAS,19.0,0,12
OO,DFW,17.0,0,10
HA,HNL,3.0,0,4
WN,STL,34.0,0,2
WN,LAX,-12.0,0,3
DL,MEM,8.0,0,5
DL,ATL,-14.0,0,8
MQ,LRD,1.0,0,1
WN,MCO,1.0,0,6
OO,ORD,17.0,0,7
OH,CLT,16.0,0,12
OO,PDX,-14.0,0,9
UA,IAH,-10.0,0,9
G4,FSD,-15.0,0,7
DL,ATL,-4.0,0,8
9E,LGA,67.0,0,3
YX,LGA,-4.0,0,12
B6,LGA,-9.0,0,1
UA,DEN,-20.0,0,6
NK,MCO,0.0,0,12
WN,CLT,-3.0,0,1
9E,JFK,-16.0,0,10
WN,SJC,1.0,0,4
WN,AUS,-19.0,0,1
DL,DTW,-22.0,0,9
OO,PHX,-11.0,0,12
UA,DEN,24.0,0,9
OO,MSO,-14.0,0,4
WN,PHX,30.0,0,3
MQ,DFW,52.0,0,9
9E,SGF,-19.0,0,3
WN,AMA,-14.0,0,1
F9,LIT,-10.0,0,6
UA,IAD,-6.0,0,5
WN,BNA,-14.0,0,3
OH,PHL,-9.0,0,12
WN,SAN,43.0,0,9
F9,ATL,,1,9
AS,LAX,74.0,0,3
DL,LAX,-24.0,0,4
WN,AUS,-14.0,0,9
UA,PSP,-16.0,0,10
WN,AUS,10.0,0,2
WN,OMA,-7.0,0,4
WN,DEN,-10.0,0,10
WN,DAL,-13.0,0,11
NK,IAH,-33.0,0,8
WN,BNA,107.0,0,4
OO,WYS,-25.0,0,6
HA,SMF,15.0,0,2
AA,PNS,-9.0,0,3
F9,MDW,92.0,0,8
DL,ATL,-10.0,0,9
AA,SFO,7.0,0,11
MQ,DFW,-8.0,0,10
WN,DAL,-5.0,0,9
WN,PDX,4.0,0,8
WN,DEN,11.0,0,2
MQ,MLU,-3.0,0,5
WN,PDX,-15.0,0,9
